Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:46:43,00:46:43,0.000,,4,2,1,3,S arquero pie,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:46:46,00:46:46,0.000,,9,4,2,4,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:46:49,00:46:49,0.000,,8,8,4,9,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:46:50,00:46:50,0.000,,9,4,8,8,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:46:52,00:46:52,0.000,,8,5,4,9,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:46:54,00:46:54,0.000,,9,2,5,8,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:46:58,00:46:58,0.000,,7,3,2,9,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:47:07,00:47:07,0.000,,7,6,3,7,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:47:10,00:47:10,0.000,,8,2,6,8,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:47:15,00:47:15,0.000,,8,6,2,8,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:47:22,00:47:22,0.000,,18,4,6,8,largo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:47:23,00:47:29,6.000,,Volver,,6,8,Balon afuera lateral,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:47:49,00:47:49,0.000,,Volver,,5,9,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:47:50,00:47:50,0.000,,12,4,5,9,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:47:56,00:47:56,0.000,,3,1,4,12,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:47:59,00:47:59,0.000,,8,6,1,3,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:48:03,00:48:03,0.000,,7,3,6,8,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:48:06,00:48:06,0.000,,17,9,3,7,largo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:48:07,00:48:07,0.000,,Volver,,3,7,intercepcion aereo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:48:08,00:48:08,0.000,,Volver,,5,10,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:48:11,00:48:11,0.000,,14,10,5,10,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:48:13,00:48:13,0.000,,18,7,10,14,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:48:17,00:48:17,0.000,,Volver,,7,18,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:48:19,00:48:19,0.000,,24,7,7,18,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:48:26,00:48:26,0.000,,22,Rival,7,24,centro aereo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:48:27,00:48:27,0.000,,Volver,,7,24,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:48:33,00:48:33,0.000,,,,2,9,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:48:36,00:48:36,0.000,,Volver,,2,9,Balon afuera lateral,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:48:53,00:48:59,6.000,,15,9,4,9,Lateral largo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:48:58,00:48:58,0.000,,14,10,9,15,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:49:02,00:49:02,0.000,,Volver,,10,14,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:49:05,00:49:05,0.000,,Volver,,3,10,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:49:12,00:49:12,0.000,,17,9,3,17,corto,
