Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Jugador2,Zonas_final,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/05/31,LANUS,completo,16:25:14,19:08:14,Arquero,,01:07:09,01:07:09,0.000,Dificil,,,,3,1,Salvada/Atajada,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Sustitucion,,01:25:28,01:25:28,0.000,,,,,,3,,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:25:32,01:25:32,0.000,,2,9,,11,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:25:36,01:25:36,0.000,,6,8,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:25:41,01:25:41,0.000,,10,10,,7,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:25:46,01:25:46,0.000,,15,10,,10,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:25:50,01:25:50,0.000,,6,7,,10,15,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:25:56,01:25:56,0.000,,2,8,,7,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:26:01,01:26:01,0.000,,4,9,,8,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:26:05,01:26:05,0.000,,9,17,,9,2,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:26:09,01:26:09,0.000,,15,16,,17,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Remate pie,,01:26:16,01:26:16,0.000,,Rival,22,,16,15,Media distancia,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:27:13,01:27:13,0.000,,,Volver,,14,15,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:27:55,01:27:55,0.000,,15,16,,12,5,largo,
