Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:30:24,01:30:24,0.000,Volver,,,11,5,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:30:55,01:30:55,0.000,17,7,,17,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:30:58,01:30:58,0.000,17,8,,17,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:02,01:31:02,0.000,17,10,,17,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:03,01:31:03,0.000,17,9,,17,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:31:03,01:31:03,0.000,Volver,,,17,10,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:12,01:31:12,0.000,8,5,,4,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:15,01:31:15,0.000,9,4,,9,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:19,01:31:19,0.000,15,11,,12,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:20,01:31:20,0.000,15,8,,15,11,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:22,01:31:22,0.000,18,11,,15,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:24,01:31:24,0.000,17,9,,17,11,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:26,01:31:26,0.000,23,7,,17,9,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:29,01:31:29,0.000,21,9,,23,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:31:29,01:31:29,0.000,Volver,,,23,7,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:40,01:31:40,0.000,10,6,,10,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:31:44,01:31:44,0.000,Volver,,,10,6,Recibida,
