Partido,Situacion,Evento,Subevento,Tiempo_inicial,Tiempo_final,Jugador,Zonas_Inicial,Zonas_Final
Huracan,A favor,Pase corto,Ataque combinado,01:57:14,01:57:26,2,5,6
Huracan,A favor,Centro,Ataque combinado,01:57:24,01:57:30,4,6,8
Huracan,A favor,Penal,Ataque combinado,01:57:29,01:57:35,Suplente 1,8,Volver
Huracan,A favor,Penal,Pelota Parada,01:58:57,01:59:10,9,8,Volver
Huracan,A favor,Remate atajado,Pelota Parada,01:59:03,01:59:09,9,8,8
Huracan,En contra,Pase corto,Ataque combinado,02:05:47,02:06:05,Rival,2,6
Huracan,En contra,Pase largo,Ataque combinado,02:05:51,02:05:57,Rival,6,9
Huracan,En contra,Pase corto,Ataque combinado,02:05:56,02:06:02,Rival,9,8
Huracan,En contra,Remate atajado,Ataque combinado,02:06:00,02:06:06,Rival,8,8
Huracan,En contra,Recuperacion,Ataque Directo,02:07:25,02:07:43,Rival,5,Volver
Huracan,En contra,Pase largo,Ataque Directo,02:07:29,02:07:35,Rival,5,9
Huracan,En contra,Gambeta,Ataque Directo,02:07:34,02:07:40,Rival,9,Volver
Huracan,En contra,Remate pie,Ataque Directo,02:07:38,02:07:44,Rival,9,8
Huracan,En contra,Pase largo,Ataque Directo,02:09:27,02:09:38,Rival,5,8
Huracan,En contra,Remate pie,Ataque Directo,02:09:33,02:09:39,Rival,8,8
Huracan,En contra,Gol,Ataque Directo,02:09:37,02:09:43,Rival,8,Volver
Gimnasia,A favor,Tiro libre,Pelota Parada,00:20:58,00:21:04,11,4,Volver
Gimnasia,A favor,Centro,Pelota Parada,00:21:03,00:21:09,11,4,8
Gimnasia,A favor,Centro,Pelota Parada,00:21:07,00:21:13,2,9,8
Gimnasia,A favor,Remate Aereo,Pelota Parada,00:21:13,00:21:19,5,8,8
Gimnasia,A favor,Gol,Pelota Parada,00:21:17,00:21:23,5,8,Volver
Gimnasia,En contra,Pase corto,Ataque Directo,00:29:33,00:29:42,Rival,4,4
Gimnasia,En contra,Pase largo,Ataque Directo,00:29:40,00:29:46,Rival,4,9
Gimnasia,En contra,Remate atajado,Ataque Directo,00:29:45,00:29:51,Rival,9,8
Gimnasia,A favor,Despeje,Ataque Directo,00:30:49,00:30:55,6,2,5
Gimnasia,A favor,Disputa aereo,Ataque Directo,00:30:56,00:31:05,9,5,Volver
Gimnasia,A favor,Disputa suelo,Ataque Directo,00:31:04,00:31:10,9,8,Volver
Gimnasia,A favor,Remate atajado,Ataque Directo,00:31:08,00:31:14,9,9,8
Gimnasia,En contra,Pase largo,Ataque Directo,00:31:09,00:31:18,Rival,4,8
Gimnasia,En contra,Pase corto,Ataque Directo,00:31:15,00:31:21,Rival,8,8
Gimnasia,En contra,Remate atajado,Ataque Directo,00:31:19,00:31:25,Rival,8,8
Gimnasia,A favor,Tiro libre,Pelota Parada,00:36:08,00:36:14,5,7,Volver
Gimnasia,A favor,Remate bloq,Pelota Parada,00:36:13,00:36:19,5,7,8
Gimnasia,A favor,Recuperacion,Ataque Directo,00:50:07,00:50:13,3,4,Volver
Gimnasia,A favor,Pase corto,Ataque Directo,00:50:12,00:50:21,3,4,5
Gimnasia,A favor,Pase largo,Ataque Directo,00:50:19,00:50:25,5,5,8
Gimnasia,A favor,Remate Aereo,Ataque Directo,00:50:24,00:50:30,9,8,8
Gimnasia,A favor,Recuperacion,Ataque Directo,01:05:12,01:05:18,3,4,Volver
Gimnasia,A favor,Pase corto,Ataque Directo,01:05:17,01:05:23,5,4,5
Gimnasia,A favor,Remate atajado,Ataque Directo,01:05:21,01:05:27,10,8,8
Gimnasia,En contra,Tiro libre,Pelota Parada,01:33:36,01:33:42,Rival,7,Volver
Gimnasia,En contra,Remate pie,Pelota Parada,01:33:39,01:33:45,Rival,7,8
Gimnasia,En contra,Gol,Pelota Parada,01:33:43,01:33:49,Rival,8,Volver
Gimnasia,En contra,Corner,Pelota Parada,01:38:05,01:38:11,Rival,9,Volver
Gimnasia,En contra,Pase corto,Pelota Parada,01:38:08,01:38:14,Rival,9,9
Gimnasia,En contra,Centro,Pelota Parada,01:38:11,01:38:17,Rival,9,8
Gimnasia,En contra,Remate bloq,Pelota Parada,01:38:15,01:38:21,Rival,8,8
Gimnasia,En contra,Tiro libre,Pelota Parada,01:43:18,01:43:24,Rival,8,Volver
Gimnasia,En contra,Remate atajado,Pelota Parada,01:43:21,01:43:27,Rival,8,8
Gimnasia,En contra,Pase corto,Ataque Directo,01:54:35,01:54:41,Rival,2,5
Gimnasia,En contra,Pase largo,Ataque Directo,01:54:40,01:54:46,Rival,5,7
Gimnasia,En contra,Pase corto,Ataque Directo,01:54:44,01:54:50,Rival,7,8
Gimnasia,En contra,Remate pie,Ataque Directo,01:54:48,01:54:54,Rival,8,8
Gimnasia,En contra,Gol,Ataque Directo,01:54:53,01:54:59,Rival,8,Volver
Lanus,En contra,Pase largo,Ataque Directo,00:01:03,00:01:09,Rival,5,9
Lanus,En contra,Pase largo,Ataque Directo,00:01:09,00:01:15,Rival,9,8
Lanus,En contra,Remate atajado,Ataque Directo,00:01:12,00:01:18,Rival,8,8
Lanus,En contra,Corner,Pelota Parada,00:02:01,00:02:07,Rival,7,Volver
Lanus,En contra,Pase largo,Pelota Parada,00:02:08,00:02:19,Rival,7,8
Lanus,En contra,Remate atajado,Pelota Parada,00:02:16,00:02:22,Rival,8,8
Lanus,A favor,Lateral,Pelota Parada,00:08:27,00:08:33,3,7,Volver
Lanus,A favor,Centro,Pelota Parada,00:08:33,00:08:39,3,7,8
Lanus,A favor,Remate Aereo,Pelota Parada,00:08:38,00:08:44,11,8,8
Lanus,En contra,Pase corto,Ataque combinado,00:11:08,00:11:14,Rival,5,5
Lanus,En contra,Pase corto,Ataque combinado,00:11:15,00:11:21,Rival,5,8
Lanus,En contra,Remate atajado,Ataque combinado,00:11:20,00:11:26,Rival,8,8
Lanus,En contra,Corner,Pelota Parada,00:27:21,00:27:27,Rival,7,Volver
Lanus,En contra,Pase corto,Pelota Parada,00:27:27,00:27:35,Rival,7,7
Lanus,En contra,Centro,Pelota Parada,00:27:32,00:27:41,Rival,7,8
Lanus,En contra,Remate Aereo,Pelota Parada,00:27:40,00:27:46,Rival,8,8
Lanus,En contra,Gol,Pelota Parada,00:27:44,00:27:50,Rival,8,Volver
Lanus,En contra,Pase corto,Ataque combinado,00:35:53,00:35:59,Rival,5,4
Lanus,En contra,Pase corto,Ataque combinado,00:35:57,00:36:03,Rival,4,5
Lanus,En contra,Pase corto,Ataque combinado,00:36:02,00:36:13,Rival,5,8
Lanus,En contra,Pase corto,Ataque combinado,00:36:10,00:36:16,Rival,8,7
Lanus,En contra,Centro,Ataque combinado,00:36:15,00:36:21,Rival,7,8
Lanus,En contra,Remate Aereo,Ataque combinado,00:36:22,00:36:28,Rival,8,8
Lanus,A favor,Recuperacion,Ataque Directo,00:37:08,00:37:14,5,5,Volver
Lanus,A favor,Pase largo,Ataque Directo,00:37:13,00:37:19,5,5,8
Lanus,A favor,Remate pie,Ataque Directo,00:37:18,00:37:24,Suplente 2,8,8
Lanus,A favor,Gol,Ataque Directo,00:37:22,00:37:28,Suplente 2,8,Volver
Lanus,En contra,Lateral,Pelota Parada,00:05:50,00:05:56,Rival,9,Volver
Lanus,En contra,Disputa suelo,Pelota Parada,00:05:55,00:06:01,Rival,9,Volver
Lanus,En contra,Remate atajado,Pelota Parada,00:05:59,00:06:05,Rival,9,8
Lanus,A favor,Pase largo,Ataque Directo,00:08:02,00:08:08,5,5,9
Lanus,A favor,Disputa suelo,Ataque Directo,00:08:07,00:08:13,11,9,Volver
Lanus,A favor,Penal,Ataque Directo,00:08:11,00:08:17,11,9,Volver
Lanus,A favor,Penal,Pelota Parada,00:09:54,00:10:00,7,8,Volver
Lanus,A favor,Gol,Pelota Parada,00:10:01,00:10:07,7,8,Volver
