Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:55:38,00:55:38,0.000,1,Recibida,,7,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:56:16,00:56:16,0.000,13,corto,5,8,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:56:18,00:56:18,0.000,10,corto,2,5,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:56:21,00:56:21,0.000,7,largo,Rival,2,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:56:22,00:56:22,0.000,7,Interceptado,,2,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:57:27,00:57:27,0.000,3,S arquero pie,11,1,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:57:29,00:57:29,0.000,13,corto,Rival,11,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:57:30,00:57:30,0.000,13,Interceptado,,11,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:59:03,00:59:03,0.000,10,corto,11,5,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:59:40,00:59:40,0.000,4,Recibida,,2,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:00:09,01:00:09,0.000,14,corto,7,11,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:00:15,01:00:15,0.000,24,medio,9,7,22,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,01:00:16,01:00:16,0.000,24,Interceptado,,7,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:19:34,01:19:34,0.000,11,corto,5,11,11,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:19:36,01:19:36,0.000,11,corto,6,5,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:19:42,01:19:42,0.000,9,largo,9,6,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,01:19:42,01:19:42,0.000,9,Interceptado,,6,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Arquero,,01:20:33,01:20:33,0.000,3,Remate atajable,,1,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:20:55,01:20:55,0.000,3,S arquero pie,Rival,1,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,01:20:56,01:20:56,0.000,3,Interceptado,,1,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:21:38,01:21:38,0.000,3,S arquero pie,3,1,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,01:21:39,01:21:39,0.000,3,Interceptado,,1,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:22:25,01:22:25,0.000,13,corto,7,11,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:22:32,01:22:32,0.000,16,corto,9,8,16,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,01:22:50,01:22:50,0.000,16,Recibida,,9,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:25:35,01:25:35,0.000,8,corto,2,1,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:25:40,01:25:40,0.000,7,largo,Rival,2,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,01:25:41,01:25:41,0.000,7,Interceptado,,2,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:26:04,01:26:04,0.000,14,inteligente,9,7,16,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,01:26:13,01:26:13,0.000,20,corto,11,9,22,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Remate pie,,01:26:18,01:26:18,0.000,22,Corta distancia,Rival,11,20,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,01:26:18,01:26:18,0.000,22,Balon afuera fondo,,11,Volver,,
