Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Calificacion,Optional Column
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Remate cabeza,,00:33:30,00:33:36,6.000,21,Dificil,Rival,6,22,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pelota parada,,00:34:15,00:34:21,6.000,19,Tiro de esquina,2,8,21,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Remate pie,,00:34:16,00:34:22,6.000,21,Media distancia,Rival,2,20,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pelota parada,,00:34:54,00:35:00,6.000,10,Lateral largo,9,3,16,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:34:54,00:35:00,6.000,16,intercepcion aereo,,9,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Falta,,00:34:59,00:35:05,6.000,16,Hecha,,9,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Duelo,,00:35:33,00:35:39,6.000,1,Gambeta en contra,,3,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:35:36,00:35:42,6.000,2,Robo,,5,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Despeje,,00:35:37,00:35:43,6.000,2,Despeje,,5,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:35:37,00:35:43,6.000,2,Balon afuera lateral,Rival,5,7,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:35:55,00:36:01,6.000,4,Duelo,,5,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:35:59,00:36:05,6.000,4,Robo,Rival,5,13,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Despeje,,00:35:59,00:36:05,6.000,4,Despeje,Rival,5,10,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:36:46,00:36:52,6.000,7,Duelo,,6,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:36:59,00:37:05,6.000,11,corto,4,5,12,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Remate cabeza,,00:37:09,00:37:15,6.000,22,Dificil,Rival,9,22,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pelota parada,,00:38:33,00:38:39,6.000,8,Tiro libre,2,1,9,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:38:39,00:38:45,6.000,3,largo,3,1,10,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:39:38,00:39:44,6.000,12,largo,9,4,18,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Remate pie,,00:39:42,00:39:48,6.000,23,Corta distancia,Rival,9,22,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Falta,,00:40:53,00:40:59,6.000,11,Hecha,,9,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:41:39,00:41:45,6.000,8,intercepcion anticipo,,8,Volver,,
