Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:11,01:21:11,0.000,14,medio,11,10,17,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:21:11,01:21:11,0.000,14,Interceptado,,10,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:14,01:21:14,0.000,17,corto,14,11,17,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:23,01:21:23,0.000,14,corto,3,14,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:27,01:21:27,0.000,16,corto,5,3,13,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:30,01:21:30,0.000,13,inteligente,11,5,20,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:31,01:21:31,0.000,20,corto,9,11,21,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,01:21:33,01:21:33,0.000,21,Media distancia,Rival,9,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:21:33,01:21:33,0.000,21,Balon afuera fondo,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:22:11,01:22:11,0.000,7,corto,4,5,8,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:22:15,01:22:15,0.000,8,medio,3,4,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:22:17,01:22:17,0.000,10,corto,11,3,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:22:20,01:22:20,0.000,10,corto,3,11,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:22:36,01:22:36,0.000,1,medio,4,2,4,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:22:46,01:22:46,0.000,9,largo,Rival,4,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:22:46,01:22:46,0.000,9,Interceptado,,4,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:23:45,01:23:45,0.000,3,S arquero pie,4,1,6,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:23:49,01:23:49,0.000,6,medio,7,4,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:23:51,01:23:51,0.000,12,corto,11,7,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:23:53,01:23:53,0.000,15,inteligente,9,11,18,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:23:57,01:23:57,0.000,24,medio,10,9,21,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:23:58,01:23:58,0.000,24,Interceptado,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:25:03,01:25:03,0.000,1,medio,11,3,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:25:04,01:25:04,0.000,10,corto,10,11,7,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:25:11,01:25:11,0.000,10,largo,7,10,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:25:18,01:25:18,0.000,15,corto,5,7,14,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:25:22,01:25:22,0.000,17,corto,11,5,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:25:27,01:25:27,0.000,19,corto,3,11,19,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:25:29,01:25:29,0.000,19,centro aereo,Rival,3,21,,
